Timestamp,Command
2024-05-28T19:38:08.1251026,show_courses
2024-05-28T19:38:14.6589952,create_course
2024-05-28T19:38:28.4183578,exit
2024-05-28T19:39:06.7559572,functioneaza?
2024-05-28T19:39:31.3112422,show_courses
2024-05-28T19:39:40.4099392,exi
2024-05-28T19:39:42.3479869,exit
2024-05-29 18:20:07,show_courses
2024-05-29 18:20:46,exit
